age,sex,province,education,n
15,Female,Alberta,Less than high school diploma or its equivalent,2
15,Female,British Columbia,Less than high school diploma or its equivalent,3
15,Female,Manitoba,Less than high school diploma or its equivalent,2
15,Female,New Brunswick,Less than high school diploma or its equivalent,1
15,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
15,Female,Nova Scotia,Less than high school diploma or its equivalent,2
15,Female,Ontario,Less than high school diploma or its equivalent,12
15,Female,Quebec,Less than high school diploma or its equivalent,2
15,Female,Saskatchewan,Less than high school diploma or its equivalent,1
15,Male,British Columbia,Less than high school diploma or its equivalent,4
15,Male,Nova Scotia,Less than high school diploma or its equivalent,3
15,Male,Ontario,Less than high school diploma or its equivalent,9
15,Male,Quebec,Less than high school diploma or its equivalent,7
15,Male,Saskatchewan,Less than high school diploma or its equivalent,5
16,Female,Alberta,Less than high school diploma or its equivalent,4
16,Female,British Columbia,Less than high school diploma or its equivalent,7
16,Female,Manitoba,Less than high school diploma or its equivalent,6
16,Female,New Brunswick,Less than high school diploma or its equivalent,3
16,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,4
16,Female,Nova Scotia,Less than high school diploma or its equivalent,3
16,Female,Ontario,Less than high school diploma or its equivalent,16
16,Female,Prince Edward Island,Less than high school diploma or its equivalent,4
16,Female,Quebec,Less than high school diploma or its equivalent,15
16,Female,Saskatchewan,Less than high school diploma or its equivalent,4
16,Male,Alberta,Less than high school diploma or its equivalent,4
16,Male,British Columbia,Less than high school diploma or its equivalent,13
16,Male,British Columbia,University certificate or diploma below the bachelor's level,1
16,Male,Manitoba,Less than high school diploma or its equivalent,3
16,Male,New Brunswick,Less than high school diploma or its equivalent,5
16,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,6
16,Male,Nova Scotia,Less than high school diploma or its equivalent,3
16,Male,Ontario,Less than high school diploma or its equivalent,18
16,Male,Prince Edward Island,Less than high school diploma or its equivalent,6
16,Male,Quebec,Less than high school diploma or its equivalent,13
16,Male,Saskatchewan,Less than high school diploma or its equivalent,4
17,Female,Alberta,High school diploma or a high school equivalency certificate,1
17,Female,Alberta,Less than high school diploma or its equivalent,5
17,Female,British Columbia,Less than high school diploma or its equivalent,5
17,Female,Manitoba,Less than high school diploma or its equivalent,7
17,Female,New Brunswick,Less than high school diploma or its equivalent,8
17,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,3
17,Female,Nova Scotia,Less than high school diploma or its equivalent,3
17,Female,Ontario,Less than high school diploma or its equivalent,23
17,Female,Prince Edward Island,Less than high school diploma or its equivalent,1
17,Female,Quebec,High school diploma or a high school equivalency certificate,8
17,Female,Quebec,Less than high school diploma or its equivalent,10
17,Female,Saskatchewan,Less than high school diploma or its equivalent,3
17,Male,Alberta,Less than high school diploma or its equivalent,6
17,Male,British Columbia,Less than high school diploma or its equivalent,4
17,Male,Manitoba,Less than high school diploma or its equivalent,1
17,Male,New Brunswick,Less than high school diploma or its equivalent,4
17,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,4
17,Male,Nova Scotia,Less than high school diploma or its equivalent,3
17,Male,Ontario,Less than high school diploma or its equivalent,30
17,Male,Prince Edward Island,Less than high school diploma or its equivalent,2
17,Male,Quebec,Less than high school diploma or its equivalent,12
17,Male,Saskatchewan,Less than high school diploma or its equivalent,7
18,Female,Alberta,High school diploma or a high school equivalency certificate,4
18,Female,Alberta,Less than high school diploma or its equivalent,4
18,Female,British Columbia,High school diploma or a high school equivalency certificate,4
18,Female,British Columbia,Less than high school diploma or its equivalent,3
18,Female,Manitoba,High school diploma or a high school equivalency certificate,1
18,Female,Manitoba,Less than high school diploma or its equivalent,3
18,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
18,Female,New Brunswick,Less than high school diploma or its equivalent,2
18,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
18,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,3
18,Female,Nova Scotia,Less than high school diploma or its equivalent,1
18,Female,Ontario,High school diploma or a high school equivalency certificate,10
18,Female,Ontario,Less than high school diploma or its equivalent,17
18,Female,Prince Edward Island,Less than high school diploma or its equivalent,2
18,Female,Quebec,High school diploma or a high school equivalency certificate,6
18,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",1
18,Female,Saskatchewan,High school diploma or a high school equivalency certificate,4
18,Female,Saskatchewan,Less than high school diploma or its equivalent,2
18,Male,Alberta,High school diploma or a high school equivalency certificate,1
18,Male,Alberta,Less than high school diploma or its equivalent,5
18,Male,British Columbia,High school diploma or a high school equivalency certificate,3
18,Male,British Columbia,Less than high school diploma or its equivalent,9
18,Male,New Brunswick,High school diploma or a high school equivalency certificate,4
18,Male,New Brunswick,Less than high school diploma or its equivalent,3
18,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,4
18,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
18,Male,Nova Scotia,Less than high school diploma or its equivalent,3
18,Male,Ontario,High school diploma or a high school equivalency certificate,6
18,Male,Ontario,Less than high school diploma or its equivalent,12
18,Male,Ontario,University certificate or diploma below the bachelor's level,1
18,Male,Prince Edward Island,Less than high school diploma or its equivalent,3
18,Male,Quebec,"College, CEGEP or other non-university certificate or di...",1
18,Male,Quebec,High school diploma or a high school equivalency certificate,10
18,Male,Quebec,Less than high school diploma or its equivalent,3
18,Male,Saskatchewan,High school diploma or a high school equivalency certificate,2
18,Male,Saskatchewan,Less than high school diploma or its equivalent,4
19,Female,Alberta,High school diploma or a high school equivalency certificate,5
19,Female,Alberta,Less than high school diploma or its equivalent,1
19,Female,British Columbia,High school diploma or a high school equivalency certificate,9
19,Female,British Columbia,"University certificate, diploma or degree above the bach...",1
19,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",1
19,Female,Manitoba,High school diploma or a high school equivalency certificate,2
19,Female,Manitoba,Less than high school diploma or its equivalent,2
19,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",1
19,Female,New Brunswick,High school diploma or a high school equivalency certificate,1
19,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
19,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
19,Female,Nova Scotia,High school diploma or a high school equivalency certificate,2
19,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
19,Female,Ontario,High school diploma or a high school equivalency certificate,14
19,Female,Ontario,Less than high school diploma or its equivalent,4
19,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,1
19,Female,Prince Edward Island,Less than high school diploma or its equivalent,1
19,Female,Quebec,"College, CEGEP or other non-university certificate or di...",1
19,Female,Quebec,High school diploma or a high school equivalency certificate,8
19,Female,Saskatchewan,High school diploma or a high school equivalency certificate,1
19,Female,Saskatchewan,Less than high school diploma or its equivalent,4
19,Male,Alberta,High school diploma or a high school equivalency certificate,5
19,Male,Alberta,Less than high school diploma or its equivalent,1
19,Male,Alberta,"University certificate, diploma or degree above the bach...",1
19,Male,British Columbia,High school diploma or a high school equivalency certificate,8
19,Male,British Columbia,Less than high school diploma or its equivalent,1
19,Male,Manitoba,High school diploma or a high school equivalency certificate,2
19,Male,Manitoba,Less than high school diploma or its equivalent,2
19,Male,New Brunswick,High school diploma or a high school equivalency certificate,2
19,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
19,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
19,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
19,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",1
19,Male,Nova Scotia,High school diploma or a high school equivalency certificate,4
19,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
19,Male,Ontario,High school diploma or a high school equivalency certificate,9
19,Male,Ontario,Less than high school diploma or its equivalent,3
19,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,3
19,Male,Quebec,High school diploma or a high school equivalency certificate,6
19,Male,Quebec,Less than high school diploma or its equivalent,2
19,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",1
19,Male,Saskatchewan,High school diploma or a high school equivalency certificate,1
19,Male,Saskatchewan,University certificate or diploma below the bachelor's level,1
20,Female,Alberta,High school diploma or a high school equivalency certificate,5
20,Female,British Columbia,High school diploma or a high school equivalency certificate,3
20,Female,Manitoba,High school diploma or a high school equivalency certificate,3
20,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",2
20,Female,New Brunswick,High school diploma or a high school equivalency certificate,1
20,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
20,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,6
20,Female,Nova Scotia,High school diploma or a high school equivalency certificate,3
20,Female,Nova Scotia,University certificate or diploma below the bachelor's level,1
20,Female,Ontario,"College, CEGEP or other non-university certificate or di...",2
20,Female,Ontario,High school diploma or a high school equivalency certificate,15
20,Female,Ontario,Less than high school diploma or its equivalent,2
20,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,1
20,Female,Quebec,"College, CEGEP or other non-university certificate or di...",6
20,Female,Quebec,High school diploma or a high school equivalency certificate,9
20,Female,Quebec,Less than high school diploma or its equivalent,2
20,Female,Saskatchewan,Less than high school diploma or its equivalent,1
20,Male,Alberta,"College, CEGEP or other non-university certificate or di...",1
20,Male,Alberta,High school diploma or a high school equivalency certificate,9
20,Male,Alberta,Less than high school diploma or its equivalent,1
20,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",3
20,Male,British Columbia,High school diploma or a high school equivalency certificate,7
20,Male,Manitoba,High school diploma or a high school equivalency certificate,5
20,Male,Manitoba,Less than high school diploma or its equivalent,1
20,Male,Manitoba,University certificate or diploma below the bachelor's level,1
20,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",1
20,Male,New Brunswick,High school diploma or a high school equivalency certificate,1
20,Male,New Brunswick,University certificate or diploma below the bachelor's level,1
20,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
20,Male,Nova Scotia,High school diploma or a high school equivalency certificate,3
20,Male,Nova Scotia,Less than high school diploma or its equivalent,1
20,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
20,Male,Ontario,High school diploma or a high school equivalency certificate,27
20,Male,Ontario,Less than high school diploma or its equivalent,2
20,Male,Ontario,University certificate or diploma below the bachelor's level,1
20,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",1
20,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,2
20,Male,Prince Edward Island,Less than high school diploma or its equivalent,1
20,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
20,Male,Quebec,"College, CEGEP or other non-university certificate or di...",1
20,Male,Quebec,High school diploma or a high school equivalency certificate,11
20,Male,Quebec,Less than high school diploma or its equivalent,2
20,Male,Saskatchewan,High school diploma or a high school equivalency certificate,4
21,Female,Alberta,"College, CEGEP or other non-university certificate or di...",2
21,Female,Alberta,High school diploma or a high school equivalency certificate,3
21,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",1
21,Female,British Columbia,High school diploma or a high school equivalency certificate,7
21,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",2
21,Female,Manitoba,High school diploma or a high school equivalency certificate,2
21,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
21,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
21,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
21,Female,Nova Scotia,High school diploma or a high school equivalency certificate,3
21,Female,Nova Scotia,Less than high school diploma or its equivalent,2
21,Female,Nova Scotia,University certificate or diploma below the bachelor's level,1
21,Female,Ontario,"College, CEGEP or other non-university certificate or di...",7
21,Female,Ontario,High school diploma or a high school equivalency certificate,16
21,Female,Ontario,Less than high school diploma or its equivalent,1
21,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,1
21,Female,Prince Edward Island,Less than high school diploma or its equivalent,1
21,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
21,Female,Quebec,"College, CEGEP or other non-university certificate or di...",4
21,Female,Quebec,High school diploma or a high school equivalency certificate,3
21,Female,Quebec,University certificate or diploma below the bachelor's level,2
21,Male,Alberta,High school diploma or a high school equivalency certificate,5
21,Male,British Columbia,High school diploma or a high school equivalency certificate,6
21,Male,British Columbia,University certificate or diploma below the bachelor's level,2
21,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",2
21,Male,Manitoba,High school diploma or a high school equivalency certificate,4
21,Male,New Brunswick,High school diploma or a high school equivalency certificate,2
21,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
21,Male,Nova Scotia,High school diploma or a high school equivalency certificate,6
21,Male,Ontario,"College, CEGEP or other non-university certificate or di...",4
21,Male,Ontario,High school diploma or a high school equivalency certificate,17
21,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,1
21,Male,Prince Edward Island,University certificate or diploma below the bachelor's level,1
21,Male,Quebec,"College, CEGEP or other non-university certificate or di...",6
21,Male,Quebec,High school diploma or a high school equivalency certificate,6
21,Male,Quebec,Less than high school diploma or its equivalent,5
21,Male,Quebec,University certificate or diploma below the bachelor's level,1
21,Male,Saskatchewan,High school diploma or a high school equivalency certificate,3
21,Male,Saskatchewan,Less than high school diploma or its equivalent,2
22,Female,Alberta,"College, CEGEP or other non-university certificate or di...",2
22,Female,Alberta,High school diploma or a high school equivalency certificate,7
22,Female,Alberta,Less than high school diploma or its equivalent,1
22,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
22,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",3
22,Female,British Columbia,High school diploma or a high school equivalency certificate,3
22,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",2
22,Female,Manitoba,High school diploma or a high school equivalency certificate,1
22,Female,Manitoba,Less than high school diploma or its equivalent,1
22,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",3
22,Female,New Brunswick,High school diploma or a high school equivalency certificate,3
22,Female,New Brunswick,Less than high school diploma or its equivalent,1
22,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",2
22,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
22,Female,Nova Scotia,High school diploma or a high school equivalency certificate,4
22,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
22,Female,Ontario,"College, CEGEP or other non-university certificate or di...",4
22,Female,Ontario,High school diploma or a high school equivalency certificate,12
22,Female,Ontario,Less than high school diploma or its equivalent,2
22,Female,Ontario,University certificate or diploma below the bachelor's level,3
22,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
22,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,2
22,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
22,Female,Quebec,"College, CEGEP or other non-university certificate or di...",12
22,Female,Quebec,High school diploma or a high school equivalency certificate,3
22,Female,Quebec,University certificate or diploma below the bachelor's level,2
22,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",1
22,Female,Saskatchewan,High school diploma or a high school equivalency certificate,6
22,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
22,Male,Alberta,High school diploma or a high school equivalency certificate,7
22,Male,Alberta,University certificate or diploma below the bachelor's level,1
22,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
22,Male,British Columbia,High school diploma or a high school equivalency certificate,11
22,Male,British Columbia,University certificate or diploma below the bachelor's level,1
22,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",1
22,Male,Manitoba,High school diploma or a high school equivalency certificate,5
22,Male,Manitoba,University certificate or diploma below the bachelor's level,1
22,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",1
22,Male,New Brunswick,High school diploma or a high school equivalency certificate,2
22,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
22,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
22,Male,Nova Scotia,High school diploma or a high school equivalency certificate,2
22,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
22,Male,Ontario,"College, CEGEP or other non-university certificate or di...",6
22,Male,Ontario,High school diploma or a high school equivalency certificate,19
22,Male,Ontario,Less than high school diploma or its equivalent,1
22,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,3
22,Male,Quebec,"College, CEGEP or other non-university certificate or di...",4
22,Male,Quebec,High school diploma or a high school equivalency certificate,4
22,Male,Quebec,Less than high school diploma or its equivalent,4
22,Male,Quebec,University certificate or diploma below the bachelor's level,2
22,Male,Saskatchewan,High school diploma or a high school equivalency certificate,3
22,Male,Saskatchewan,University certificate or diploma below the bachelor's level,1
23,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,Alberta,"College, CEGEP or other non-university certificate or di...",4
23,Female,Alberta,High school diploma or a high school equivalency certificate,1
23,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
23,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",1
23,Female,British Columbia,High school diploma or a high school equivalency certificate,4
23,Female,British Columbia,University certificate or diploma below the bachelor's level,1
23,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,Manitoba,High school diploma or a high school equivalency certificate,1
23,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
23,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",2
23,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
23,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,1
23,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",2
23,Female,Nova Scotia,High school diploma or a high school equivalency certificate,1
23,Female,Nova Scotia,University certificate or diploma below the bachelor's level,1
23,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",8
23,Female,Ontario,"College, CEGEP or other non-university certificate or di...",9
23,Female,Ontario,High school diploma or a high school equivalency certificate,8
23,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",1
23,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,1
23,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Female,Quebec,"College, CEGEP or other non-university certificate or di...",3
23,Female,Quebec,High school diploma or a high school equivalency certificate,2
23,Female,Quebec,Less than high school diploma or its equivalent,2
23,Female,Quebec,University certificate or diploma below the bachelor's level,2
23,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",3
23,Female,Saskatchewan,High school diploma or a high school equivalency certificate,1
23,Male,Alberta,High school diploma or a high school equivalency certificate,4
23,Male,Alberta,Less than high school diploma or its equivalent,1
23,Male,Alberta,University certificate or diploma below the bachelor's level,1
23,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",1
23,Male,British Columbia,High school diploma or a high school equivalency certificate,8
23,Male,British Columbia,University certificate or diploma below the bachelor's level,1
23,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",2
23,Male,Manitoba,High school diploma or a high school equivalency certificate,4
23,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
23,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",2
23,Male,New Brunswick,High school diploma or a high school equivalency certificate,2
23,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
23,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
23,Male,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,1
23,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Nova Scotia,High school diploma or a high school equivalency certificate,7
23,Male,Nova Scotia,Less than high school diploma or its equivalent,1
23,Male,Nova Scotia,University certificate or diploma below the bachelor's level,1
23,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",5
23,Male,Ontario,"College, CEGEP or other non-university certificate or di...",4
23,Male,Ontario,High school diploma or a high school equivalency certificate,10
23,Male,Ontario,Less than high school diploma or its equivalent,2
23,Male,Ontario,"University certificate, diploma or degree above the bach...",1
23,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",1
23,Male,Prince Edward Island,Less than high school diploma or its equivalent,1
23,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Quebec,"College, CEGEP or other non-university certificate or di...",1
23,Male,Quebec,High school diploma or a high school equivalency certificate,2
23,Male,Quebec,Less than high school diploma or its equivalent,2
23,Male,Quebec,University certificate or diploma below the bachelor's level,2
23,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Saskatchewan,High school diploma or a high school equivalency certificate,1
24,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
24,Female,Alberta,"College, CEGEP or other non-university certificate or di...",2
24,Female,Alberta,High school diploma or a high school equivalency certificate,4
24,Female,Alberta,Less than high school diploma or its equivalent,1
24,Female,Alberta,University certificate or diploma below the bachelor's level,1
24,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
24,Female,British Columbia,High school diploma or a high school equivalency certificate,5
24,Female,British Columbia,Less than high school diploma or its equivalent,1
24,Female,British Columbia,University certificate or diploma below the bachelor's level,3
24,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
24,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",1
24,Female,Manitoba,High school diploma or a high school equivalency certificate,3
24,Female,Manitoba,Less than high school diploma or its equivalent,1
24,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",2
24,Female,New Brunswick,High school diploma or a high school equivalency certificate,3
24,Female,New Brunswick,University certificate or diploma below the bachelor's level,1
24,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
24,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",2
24,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
24,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
24,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",1
24,Female,Nova Scotia,High school diploma or a high school equivalency certificate,4
24,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",14
24,Female,Ontario,"College, CEGEP or other non-university certificate or di...",8
24,Female,Ontario,High school diploma or a high school equivalency certificate,8
24,Female,Ontario,Less than high school diploma or its equivalent,1
24,Female,Ontario,University certificate or diploma below the bachelor's level,1
