age,sex,province,education,vote_liberal
30,Female,Quebec,"University certificate, diploma or degree above the bach...",0
19,Female,Ontario,University certificate or diploma below the bachelor's level,1
21,Male,Ontario,University certificate or diploma below the bachelor's level,0
20,Female,Ontario,University certificate or diploma below the bachelor's level,1
21,Female,Ontario,University certificate or diploma below the bachelor's level,1
19,Male,Ontario,High school diploma or a high school equivalency certificate,1
19,Female,Ontario,High school diploma or a high school equivalency certificate,0
21,Female,Ontario,University certificate or diploma below the bachelor's level,0
20,Male,Ontario,High school diploma or a high school equivalency certificate,1
19,Female,Ontario,University certificate or diploma below the bachelor's level,1
21,Male,Ontario,University certificate or diploma below the bachelor's level,1
19,Female,Ontario,High school diploma or a high school equivalency certificate,1
19,Female,Ontario,High school diploma or a high school equivalency certificate,1
19,Female,Ontario,High school diploma or a high school equivalency certificate,0
19,Female,Ontario,University certificate or diploma below the bachelor's level,0
19,Female,Ontario,High school diploma or a high school equivalency certificate,0
19,Male,Ontario,High school diploma or a high school equivalency certificate,0
24,Male,Ontario,University certificate or diploma below the bachelor's level,1
20,Female,Ontario,University certificate or diploma below the bachelor's level,1
19,Female,Ontario,High school diploma or a high school equivalency certificate,1
20,Male,Ontario,High school diploma or a high school equivalency certificate,1
19,Male,Ontario,University certificate or diploma below the bachelor's level,1
19,Female,Ontario,Less than high school diploma or its equivalent,1
20,Male,Ontario,High school diploma or a high school equivalency certificate,0
24,Female,Ontario,University certificate or diploma below the bachelor's level,1
21,Female,Ontario,University certificate or diploma below the bachelor's level,0
19,Male,Ontario,Less than high school diploma or its equivalent,1
19,Female,Ontario,University certificate or diploma below the bachelor's level,1
22,Male,Ontario,University certificate or diploma below the bachelor's level,1
19,Male,Ontario,High school diploma or a high school equivalency certificate,0
19,Female,Ontario,University certificate or diploma below the bachelor's level,0
19,Female,Ontario,University certificate or diploma below the bachelor's level,0
19,Female,Ontario,University certificate or diploma below the bachelor's level,1
21,Female,Ontario,High school diploma or a high school equivalency certificate,0
21,Male,Ontario,University certificate or diploma below the bachelor's level,1
19,Female,Ontario,High school diploma or a high school equivalency certificate,1
21,Female,Ontario,University certificate or diploma below the bachelor's level,1
20,Female,Ontario,Less than high school diploma or its equivalent,0
20,Male,Ontario,University certificate or diploma below the bachelor's level,1
19,Female,Ontario,University certificate or diploma below the bachelor's level,0
19,Male,Ontario,University certificate or diploma below the bachelor's level,0
23,Female,Ontario,University certificate or diploma below the bachelor's level,0
21,Male,Ontario,High school diploma or a high school equivalency certificate,1
20,Female,Ontario,High school diploma or a high school equivalency certificate,0
20,Female,Ontario,University certificate or diploma below the bachelor's level,1
19,Female,Ontario,University certificate or diploma below the bachelor's level,1
19,Male,Ontario,University certificate or diploma below the bachelor's level,1
20,Female,Ontario,University certificate or diploma below the bachelor's level,0
21,Female,Ontario,University certificate or diploma below the bachelor's level,1
22,Male,Ontario,University certificate or diploma below the bachelor's level,0
23,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
19,Male,Ontario,High school diploma or a high school equivalency certificate,1
19,Female,Ontario,University certificate or diploma below the bachelor's level,1
19,Female,Ontario,University certificate or diploma below the bachelor's level,0
22,Female,Ontario,Less than high school diploma or its equivalent,0
19,Female,Ontario,High school diploma or a high school equivalency certificate,0
20,Female,Ontario,High school diploma or a high school equivalency certificate,1
21,Female,Ontario,High school diploma or a high school equivalency certificate,1
20,Female,Ontario,University certificate or diploma below the bachelor's level,0
22,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
19,Female,Ontario,University certificate or diploma below the bachelor's level,0
23,Male,Ontario,High school diploma or a high school equivalency certificate,0
22,Male,Ontario,University certificate or diploma below the bachelor's level,0
63,Female,Quebec,"College, CEGEP or other non-university certificate or di...",1
28,Female,Ontario,"University certificate, diploma or degree above the bach...",0
59,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
60,Female,Ontario,High school diploma or a high school equivalency certificate,1
63,Male,Ontario,"University certificate, diploma or degree above the bach...",0
29,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
57,Female,Ontario,High school diploma or a high school equivalency certificate,0
65,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
63,Female,Saskatchewan,High school diploma or a high school equivalency certificate,0
44,Male,Quebec,University certificate or diploma below the bachelor's level,0
65,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
41,Male,Quebec,High school diploma or a high school equivalency certificate,0
62,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
42,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
32,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
59,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
34,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
67,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
67,Male,Quebec,"University certificate, diploma or degree above the bach...",0
37,Male,Ontario,High school diploma or a high school equivalency certificate,0
47,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
68,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
30,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
59,Male,Quebec,High school diploma or a high school equivalency certificate,0
61,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
31,Female,Quebec,"College, CEGEP or other non-university certificate or di...",0
65,Female,Ontario,High school diploma or a high school equivalency certificate,1
47,Female,Alberta,"College, CEGEP or other non-university certificate or di...",0
64,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
69,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
64,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",0
49,Male,Alberta,"University certificate, diploma or degree above the bach...",1
65,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",1
76,Female,Quebec,"College, CEGEP or other non-university certificate or di...",1
55,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
63,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
38,Female,Ontario,"University certificate, diploma or degree above the bach...",0
57,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",0
68,Male,British Columbia,High school diploma or a high school equivalency certificate,0
67,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
59,Male,Quebec,"University certificate, diploma or degree above the bach...",0
28,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
63,Male,Ontario,University certificate or diploma below the bachelor's level,1
61,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
29,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
73,Male,Ontario,University certificate or diploma below the bachelor's level,0
69,Female,Ontario,Less than high school diploma or its equivalent,0
49,Female,Quebec,"College, CEGEP or other non-university certificate or di...",1
62,Female,Ontario,High school diploma or a high school equivalency certificate,0
47,Male,Nova Scotia,"University certificate, diploma or degree above the bach...",0
54,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
55,Female,Quebec,High school diploma or a high school equivalency certificate,0
58,Female,Ontario,Less than high school diploma or its equivalent,0
41,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",1
54,Male,Quebec,"University certificate, diploma or degree above the bach...",0
34,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
66,Female,British Columbia,High school diploma or a high school equivalency certificate,0
48,Female,Quebec,High school diploma or a high school equivalency certificate,1
68,Male,British Columbia,"University certificate, diploma or degree above the bach...",1
53,Female,Ontario,High school diploma or a high school equivalency certificate,1
68,Male,Nova Scotia,University certificate or diploma below the bachelor's level,1
65,Female,Quebec,High school diploma or a high school equivalency certificate,1
28,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
40,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",0
69,Male,Ontario,High school diploma or a high school equivalency certificate,0
35,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
34,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
56,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
28,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
68,Female,Quebec,High school diploma or a high school equivalency certificate,1
50,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
39,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
61,Male,Alberta,University certificate or diploma below the bachelor's level,1
74,Male,Ontario,University certificate or diploma below the bachelor's level,1
54,Male,Manitoba,High school diploma or a high school equivalency certificate,0
40,Male,Manitoba,"University certificate, diploma or degree above the bach...",1
60,Female,Manitoba,High school diploma or a high school equivalency certificate,0
54,Female,British Columbia,"University certificate, diploma or degree above the bach...",1
46,Female,Quebec,High school diploma or a high school equivalency certificate,0
59,Male,Quebec,"College, CEGEP or other non-university certificate or di...",0
67,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
51,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
72,Male,Ontario,High school diploma or a high school equivalency certificate,0
56,Female,Quebec,High school diploma or a high school equivalency certificate,0
60,Female,Quebec,"University certificate, diploma or degree above the bach...",1
81,Male,Ontario,"University certificate, diploma or degree above the bach...",0
63,Male,Ontario,"University certificate, diploma or degree above the bach...",0
63,Male,Ontario,University certificate or diploma below the bachelor's level,0
65,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
72,Female,Quebec,"College, CEGEP or other non-university certificate or di...",0
81,Male,Ontario,Less than high school diploma or its equivalent,0
37,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
52,Male,Nova Scotia,High school diploma or a high school equivalency certificate,0
49,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
81,Male,Ontario,University certificate or diploma below the bachelor's level,0
73,Male,Ontario,University certificate or diploma below the bachelor's level,1
53,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
80,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
25,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
36,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
60,Female,Ontario,High school diploma or a high school equivalency certificate,0
69,Male,Ontario,"University certificate, diploma or degree above the bach...",0
58,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
49,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
63,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
19,Female,Ontario,High school diploma or a high school equivalency certificate,1
26,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
64,Male,Quebec,High school diploma or a high school equivalency certificate,0
62,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
65,Female,Quebec,High school diploma or a high school equivalency certificate,0
66,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
43,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
58,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",0
55,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
74,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
42,Male,Ontario,High school diploma or a high school equivalency certificate,0
56,Male,Ontario,High school diploma or a high school equivalency certificate,0
36,Female,Ontario,High school diploma or a high school equivalency certificate,0
73,Male,Ontario,"University certificate, diploma or degree above the bach...",0
42,Female,Quebec,Less than high school diploma or its equivalent,1
36,Male,Ontario,High school diploma or a high school equivalency certificate,1
50,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
